"group.code","family"
"DI","Acanthaceae"
"DI","Aceraceae"
"MO","Agavaceae"
"DI","Aizoaceae"
"MO","Alismataceae"
"DI","Amaranthaceae"
"DI","Anacardiaceae"
"DI","Apocynaceae"
"DI","Apodanthaceae"
"DI","Aquifoliaceae"
"MO","Araceae"
"DI","Araliaceae"
"MO","Arecaceae"
"DI","Aristolochiaceae"
"DI","Asclepiadaceae"
"DI","Aspidiaceae"
"FN","Aspleniaceae"
"FN","Azollaceae"
"DI","Balsaminaceae"
"DI","Berberidaceae"
"DI","Betulaceae"
"DI","Bignoniaceae"
"FN","Blechnaceae"
"DI","Boraginaceae"
"MO","Bromeliaceae"
"DI","Burseraceae"
"DI","Buxaceae"
"DI","Cactaceae"
"DI","Callitrichaceae"
"DI","Calycanthaceae"
"DI","Campanulaceae"
"DI","Cannabinaceae"
"MO","Cannaceae"
"DI","Capparidaceae"
"DI","Caprifoliaceae"
"DI","Caryophyllaceae"
"DI","Celastraceae"
"DI","Cerathophyllaceae"
"DI","Ceratophyllaceae"
"RA","Champiaceae"
"DI","Chenopodiaceae"
"DI","Chloranthaceae"
"DI","Cistaceae"
"DI","Clethraceae"
"GA","Codiaceae"
"DI","Combretaceae"
"MO","Commelinaceae"
"DI","Compositae"
"DI","Convolvulaceae"
"DI","Cornaceae"
"DI","Crassulaceae"
"DI","Cruciferae"
"DI","Cucurbitaceae"
"GY","Cupressaceae"
"MO","Cyperaceae"
"DI","Cytinaceae"
"FN","Dennstaedtiaceae"
"DI","Dilleniaceae"
"MO","Dioscoreaceae"
"DI","Dipsacaceae"
"FN","Dryopteridaceae"
"DI","Ebenaceae"
"DI","Elaeagnaceae"
"GY","Ephedraceae"
"HS","Equisetaceae"
"DI","Ericaceae"
"MO","Eriocaulaceae"
"DI","Euphorbiaceae"
"DI","Fagaceae"
"DI","Flacourtiaceae"
"DI","Fouquieraceae"
"DI","Frankeniaceae"
"DI","Fumariaceae"
"DI","Garryaceae"
"DI","Gentianaceae"
"DI","Geraniaceae"
"DI","Gesneraceae"
"GY","Ginkgoaceae"
"FN","Gleicheniaceae"
"MO","Gramineae"
"DI","Haloragaceae"
"DI","Hamamelidaceae"
"DI","Hippocastanaceae"
"DI","Hippuridaceae"
"MO","Hydrocharitaceae"
"DI","Hydrophyllaceae"
"DI","Hypericaceae"
"MO","Iridaceae"
"LY-QW","Isoetaceae"
"DI","Juglandaceae"
"MO","Juncaceae"
"MO","Juncaginaceae"
"DI","Koeberliniaceae"
"DI","Krameriaceae"
"DI","Labiatae"
"DI","Lauraceae"
"DI","Leguminosae"
"MO","Lemnaceae"
"DI","Lentibulariaceae"
"MO","Liliaceae"
"DI","Linaceae"
"DI","Loasaceae"
"DI","Loganiaceae"
"DI","Loranthaceae"
"LY","Lycopodiaceae"
"FN","Lygodiaceae"
"DI","Lythraceae"
"DI","Magnoliaceae"
"DI","Malpighiaceae"
"DI","Malvaceae"
"MO","Marantaceae"
"FN","Marsileaceae"
"DI","Martyniaceae"
"DI","Melastomataceae"
"DI","Meliaceae"
"DI","Menispermaceae"
"DI","Moraceae"
"DI","Myricaceae"
"DI","Myrsinaceae"
"DI","Myrtaceae"
"MO","Najadaceae"
"DI","Nitrariaceae"
"DI","Nyctaginaceae"
"DI","Nymphaeaceae"
"DI","Oleaceae"
"DI","Onagraceae"
"DI","Onagraceae "
"FN","Ophioglossaceae"
"MO","Orchidaceae"
"DI","Orobanchaceae"
"MO","Orobanchaceae"
"FN","Osmundaceae"
"DI","Oxalidaceae"
"DI","Papaveraceae"
"DI","Passifloraceae"
"DI","Pedaliaceae"
"DI","Phrymaceae"
"DI","Phytolaccaceae"
"GY","Pinaceae"
"DI","Pinaceae"
"DI","Piperaceae"
"DI","Plantaginaceae"
"DI","Platanaceae"
"DI","Plumbaginaceae"
"GY","Podocarpaceae"
"DI","Podostemaceae"
"DI","Polemoniaceae"
"DI","Polygalaceae"
"DI","Polygonaceae"
"FN","Polypodiaceae"
"MO","Pontederiaceae"
"DI","Portulacaceae"
"MO","Potamogetonaceae"
"PS","Psilotaceae"
"FN","Pteridaceae"
"DI","Punicaceae"
"DI","Ranunculaceae"
"DI","Rhamnaceae"
"DI","Rosaceae"
"DI","Rubiaceae"
"MO","Ruppiaceae"
"DI","Rutaceae"
"DI","Salicaceae"
"FN","Salviniaceae"
"DI","Santalaceae"
"DI","Sapindaceae"
"DI","Sapotaceae"
"BN","Sargassaceae"
"DI","Saxifragaceae"
"FN","Schizaeaceae"
"DI","Scrophulariaceae"
"LY","Selaginellaceae"
"DI","Simaroubaceae"
"DI","Solanaceae"
"MO","Sparganiaceae"
"DI","Tamaricaceae"
"GY","Taxaceae"
"DI","Theaceae"
"FN","Thelypteridaceae"
"MO","Typhaceae"
"DI","Ulmaceae"
"DI","Umbelliferae"
"DI","Urticaceae"
"DI","Valerianaceae"
"DI","Verbenaceae"
"DI","Violaceae"
"DI","Viscaceae"
"DI","Vitaceae"
"MO","Xyridaceae"
"MO","Zannichelliaceae"
"MO","Zingiberaceae"
"DI","Zygophyllaceae"
